No,X1,X2,X3,X4,TARGET
1,5.1,3.5,1.4,0.2,0
2,4.9,3,1.4,0.2,0
3,4.7,3.2,1.3,0.2,0
4,4.6,3.1,1.5,0.2,0
5,5,3.6,1.4,0.2,0
6,5.4,3.9,1.7,0.4,0
7,4.6,3.4,1.4,0.3,0
8,5,3.4,1.5,0.2,0
9,4.4,2.9,1.4,0.2,0
10,4.9,3.1,1.5,0.1,0
11,5.4,3.7,1.5,0.2,0
12,4.8,3.4,1.6,0.2,0
13,4.8,3,1.4,0.1,0
14,4.3,3,1.1,0.1,0
15,5.8,4,1.2,0.2,0
16,5.7,4.4,1.5,0.4,0
17,5.4,3.9,1.3,0.4,0
18,5.1,3.5,1.4,0.3,0
19,5.7,3.8,1.7,0.3,0
20,5.1,3.8,1.5,0.3,0
21,5.4,3.4,1.7,0.2,0
22,5.1,3.7,1.5,0.4,0
23,4.6,3.6,1,0.2,0
24,5.1,3.3,1.7,0.5,0
25,4.8,3.4,1.9,0.2,0
26,5,3,1.6,0.2,0
27,5,3.4,1.6,0.4,0
28,5.2,3.5,1.5,0.2,0
29,5.2,3.4,1.4,0.2,0
30,4.7,3.2,1.6,0.2,0
31,4.8,3.1,1.6,0.2,0
32,5.4,3.4,1.5,0.4,0
33,5.2,4.1,1.5,0.1,0
34,5.5,4.2,1.4,0.2,0
35,4.9,3.1,1.5,0.1,0
36,5,3.2,1.2,0.2,0
37,5.5,3.5,1.3,0.2,0
38,4.9,3.1,1.5,0.1,0
39,4.4,3,1.3,0.2,0
40,5.1,3.4,1.5,0.2,0
41,7,3.2,4.7,1.4,1
42,6.4,3.2,4.5,1.5,1
43,6.9,3.1,4.9,1.5,1
44,5.5,2.3,4,1.3,1
45,6.5,2.8,4.6,1.5,1
46,5.7,2.8,4.5,1.3,1
47,6.3,3.3,4.7,1.6,1
48,4.9,2.4,3.3,1,1
49,6.6,2.9,4.6,1.3,1
50,5.2,2.7,3.9,1.4,1
51,5,2,3.5,1,1
52,5.9,3,4.2,1.5,1
53,6,2.2,4,1,1
54,6.1,2.9,4.7,1.4,1
55,5.6,2.9,3.6,1.3,1
56,6.7,3.1,4.4,1.4,1
57,5.6,3,4.5,1.5,1
58,5.8,2.7,4.1,1,1
59,6.2,2.2,4.5,1.5,1
60,5.6,2.5,3.9,1.1,1
61,5.9,3.2,4.8,1.8,1
62,6.1,2.8,4,1.3,1
63,6.3,2.5,4.9,1.5,1
64,6.1,2.8,4.7,1.2,1
65,6.4,2.9,4.3,1.3,1
66,6.6,3,4.4,1.4,1
67,6.8,2.8,4.8,1.4,1
68,6.7,3,5,1.7,1
69,6,2.9,4.5,1.5,1
70,5.7,2.6,3.5,1,1
71,5.5,2.4,3.8,1.1,1
72,5.5,2.4,3.7,1,1
73,5.8,2.7,3.9,1.2,1
74,6,2.7,5.1,1.6,1
75,5.4,3,4.5,1.5,1
76,6,3.4,4.5,1.6,1
77,6.7,3.1,4.7,1.5,1
78,6.3,2.3,4.4,1.3,1
79,5.6,3,4.1,1.3,1
80,5.5,2.5,4,1.3,1
